epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,533.71,0.89203,0.17917,0.10091,0.66445,0.97668,1,0.99881,0.995,0.8019,1,0.99881,0.995,0.9936,0.76158,0.1107,0.03779,0.55099,0.86421,0.000307,0.000307,0.000307
107,538.502,0.76952,0.18239,0.09837,0.60227,0.92591,0.99736,1,0.995,0.69004,0.99736,1,0.995,0.99476,1.11865,0.0987,0.03666,0.68051,0.90351,0.0003004,0.0003004,0.0003004
108,543.311,0.86002,0.20929,0.1157,0.64881,0.97393,0.99972,1,0.995,0.81224,0.99972,1,0.995,0.99461,0.77063,0.08732,0.03558,0.54766,0.85457,0.0002938,0.0002938,0.0002938
109,548.057,0.84745,0.20176,0.07934,0.6409,0.97419,0.99854,1,0.995,0.77899,0.99854,1,0.995,0.99397,0.83284,0.11443,0.03457,0.55038,0.86523,0.0002872,0.0002872,0.0002872
110,552.724,0.86524,0.19934,0.07286,0.61593,0.97457,0.98228,1,0.995,0.76476,0.98228,1,0.995,0.99416,0.88388,0.07764,0.03685,0.55734,0.86251,0.0002806,0.0002806,0.0002806
111,557.52,0.8616,0.20718,0.09702,0.58835,0.9965,0.99334,1,0.995,0.84627,0.99334,1,0.995,0.995,0.65769,0.0879,0.03824,0.48923,0.83859,0.000274,0.000274,0.000274
112,562.338,0.8474,0.16735,0.09684,0.60925,0.99474,0.99555,1,0.995,0.79959,0.99555,1,0.995,0.995,0.7784,0.08773,0.03675,0.51169,0.85442,0.0002674,0.0002674,0.0002674
113,567.102,0.81721,0.20251,0.1005,0.59499,0.95936,0.99705,1,0.995,0.83555,0.99705,1,0.995,0.995,0.6981,0.06636,0.03644,0.49489,0.8446,0.0002608,0.0002608,0.0002608
114,571.858,0.86128,0.15975,0.10021,0.59844,0.96413,0.99738,1,0.995,0.75423,0.99738,1,0.995,0.995,0.90799,0.06816,0.03742,0.54156,0.8576,0.0002542,0.0002542,0.0002542
115,576.68,0.77703,0.17491,0.09664,0.56045,0.96373,0.99503,1,0.995,0.69264,0.99503,1,0.995,0.995,0.97957,0.06522,0.03858,0.61623,0.87275,0.0002476,0.0002476,0.0002476
